58,えあこん（くーらー）,かでんりさいくるほうたいしょうひんもく,かでん,1.りさいくるするかでんせいひんをこうにゅうしたみせか、かいかえをしようとするみせに、りさいくるりょうきんとしゅうしゅううんぱんりょうきんをしはらい、いらいする。2.しのきょかするしゅうしゅううんぱんぎょうしゃに、りさいくるりょうきんとしゅうしゅううんぱんりょうきんをしはらい、いらいする。3.ゆうびんきょくで「かでんりさいくるけん」をこうにゅうし、してい引取ばしょにもちこむ。してい引取ばしょ：(かぶ)たやま 234-8666 つしたかぢゃやこもりうえのまちみなみはまかわ1143 ※えいぎょうび、じかんとうはちょくせつおといあわせください。
59,えのぐのちゅーぶ（きんぞくせい）,きんぞく,きんぞく,なかみをつかいきる
60,えのぐのちゅーぶ（ぷらすちっくせい）,ようきほうそうぷらすちっく,ようぷら,なかみをつかいきる。よごれがとりきれないばあいはもやせるごみ
61,えのぐのはこ（かみせい）,もやせるごみ,かねん,
62,えれくとーん,きんぞく,きんぞく,
63,えんちょうこーど,もやせないごみ,ふねん,たばねてむすぶ
64,えんぴつ・いろえんぴつ,もやせるごみ,かねん,
65,えんぴつ・いろえんぴつのけーす（かみせい）,もやせるごみ,かねん,
66,えんぴつ・いろえんぴつのけーす（きんぞくせい）,きんぞく,きんぞく,
67,えんぴつ・いろえんぴつのけーす（ぷらすちっくせい）,ようきほうそうぷらすちっく,ようぷら,
68,えんぴつけずり,きんぞく,きんぞく,
69,おーぶんとーすたー・れんじ,きんぞく,きんぞく,
70,おーとばい（げんつきじてんしゃふくむ）,しではしゅうしゅうしません,しゅうしゅうしない,はいきおーとばい（げんどうきづけじてんしゃをふくむ）のしょりにあたり、しげんのゆうこうかつようをもくてきにおーとばいのこくないめーかーよんしゃとゆにゅうじぎょうしゃいちにしゃによるりさいくるがおこなわれています。おーとばいをはいきされるほうは、「にりんしゃりさいくるこーるせんたー」までおといあわせください。にりんしゃりさいくるこーるせんたー 050-3000-0727。
71,おうかん,きんぞく,きんぞく,
72,おけ（もくせい）,もやせるごみ,かねん,
73,おけ（きんぞくせい）,きんぞく,きんぞく,
74,おけ（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
75,おしぴん,きんぞく,きんぞく,あきかんとうのちいさなきんぞくようきにいれてだす
76,おたま（もくせい）,もやせるごみ,かねん,
77,おたま（きんぞくせい）,きんぞく,きんぞく,
78,おたま（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
79,おまる,そのたぷらすちっく,たぷら,おぶつをとりのぞく
80,おむつ（かみ・ぬのせい）,もやせるごみ,かねん,おぶつはといれにながす
81,おもちゃ（もくせい）,もやせるごみ,かねん,
82,おもちゃ（きんぞくせい）,きんぞく,きんぞく,でんちはとりのぞく
83,おもちゃ（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
84,おるがん・でんしぴあの,きんぞく,きんぞく,
85,おろしき（きんぞくせい）,きんぞく,きんぞく,
86,おろしき（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
87,おろしき（とうじき・せらみっくせい）,もやせないごみ,ふねん,
88,おんどけい（すいぎんしき）,きけんごみ,危,なるべくせんようのようきにいれ、とうめい、はんとうめいのふくろにいれる
89,おんどけい（でじたるしき）,きんぞく,きんぞく,でんちはとりのぞく
645,おんどけい（あかえきおんどけい）,もやせないごみ,ふねん,
90,かーてん（れーすふくむ）,もやせるごみ,かねん,りさいくるがこんなんなため
91,かーてんれーる,きんぞく,きんぞく,
92,かーぼんし,もやせるごみ,かねん,りさいくるがこんなんなため
93,かいがら,もやせるごみ,かねん,すいぶんをきる
94,かいちゅうでんとう,きんぞく,きんぞく,でんちはとりのぞく
95,かいろ（つかいすて）,きけんごみ,危,
96,きょうるい,もやせないごみ,ふねん,
97,かきね（きんぞくせい）,きんぞく,きんぞく,
98,かきね（たけ・もくせい）,もやせるごみ,かねん,いちmいないにこわす
99,かぐ（もくせい）,もやせるごみ,かねん,がらすぶぶんは「ふねん」にだす　1mいないにこわして、がらす・きんぞくぶぶんははずしてください。
